recno;ID_ROADKILL;SESION;DATE;TRANSECT;OBSERVER;P_V;METHODOLOGY;OBSERVED;SPECIE;GROUP;STATUS;latitude;longitude;precision;utm_n;utm_e;utm_zona;LOCATION;d1;d2;D_CONSENSUS
1;1;FEBRUARY;21/02/2023;CASTILBLANCO1;1;P;CYCLING;1;Passerine;SMALL_BIRD;5;37.716006;-5.999868;4;4178542;235576;30S;ROADWAY;2;2;2
2;1;FEBRUARY;21/02/2023;CASTILBLANCO1;2;P;WALKING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
3;1;FEBRUARY;21/02/2023;CASTILBLANCO1;3;P;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
4;1;FEBRUARY;21/02/2023;CASTILBLANCO1;4;V;CYCLING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
5;1;FEBRUARY;21/02/2023;CASTILBLANCO1;5;V;WALKING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
6;1;FEBRUARY;21/02/2023;CASTILBLANCO1;6;V;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
7;2;FEBRUARY;21/02/2023;CASTILBLANCO1;1;P;CYCLING;1;Mus spretus;SMALL_MAMMAL;2;37.72922;-6.014511;4;4179968;763108;29S;ROADWAY;8;4.5;5
8;2;FEBRUARY;21/02/2023;CASTILBLANCO1;2;P;WALKING;1;Mus spretus;SMALL_MAMMAL;2;37.729186;-6.01449;4;4179965;763110;29S;ROADWAY;10;4.5;5
9;2;FEBRUARY;21/02/2023;CASTILBLANCO1;3;P;DRIVING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
10;2;FEBRUARY;21/02/2023;CASTILBLANCO1;4;V;CYCLING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
11;2;FEBRUARY;21/02/2023;CASTILBLANCO1;5;V;WALKING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
12;2;FEBRUARY;21/02/2023;CASTILBLANCO1;6;V;DRIVING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
